service_id,date,exception_type
BBL 26_27-42237,20261005,2
BCC 26_27-42968,20261005,2
BCC 26_27-42971,20261005,1
CBL 26_27-43425,20260921,2
CBL 26_27-43425-0001000,20260921,2
CBL 26_27-43425,20260922,2
CBL 26_27-43425-0001000,20260922,2
CBL 26_27-43425,20260923,2
CBL 26_27-43425-0001000,20260923,2
CBL 26_27-43425,20260924,2
CBL 26_27-43425-0001000,20260924,2
CBL 26_27-43425,20260925,2
CBL 26_27-43425-0001000,20260925,2
CBL 26_27-43425,20260928,2
CBL 26_27-43425-0001000,20260928,2
CBL 26_27-43425,20260929,2
CBL 26_27-43425-0001000,20260929,2
CBL 26_27-43425,20260930,2
CBL 26_27-43425-0001000,20260930,2
CBL 26_27-43425,20261001,2
CBL 26_27-43425-0001000,20261001,2
CBL 26_27-43425,20261002,2
CBL 26_27-43425-0001000,20261002,2
CBL 26_27-43425,20261005,2
CBL 26_27-43425-0001000,20261005,2
CBL 26_27-43426,20261005,1
CDC 26_27-43870,20260911,2
CDC 26_27-43870,20260921,2
CDC 26_27-43870,20260922,2
CDC 26_27-43870,20260923,2
CDC 26_27-43870,20260924,2
CDC 26_27-43870,20260925,2
CDC 26_27-43870,20260928,2
CDC 26_27-43870,20260929,2
CDC 26_27-43870,20260930,2
CDC 26_27-43870,20261001,2
CDC 26_27-43870,20261002,2
CDC 26_27-43870,20261005,2
ATS_TBS 26-44138,20260925,2
ATS_TBS 26-44141,20260928,2
ATS_TBS 26-44141,20260929,2
ATS_TBS 26-44141,20260930,2
ATS_TBS 26-44141,20261001,2
ATS_TBS 26-44082,20261005,1
COO 26_27-43134,20261005,2
COO 26_27-43135,20261005,1
ATS_MGB 26-42664,20260909,1
HBL 26_27-43478,20260925,2
HBL 26_27-43478,20261002,2
HBL 26_27-43488,20260921,2
HBL 26_27-43488,20260922,2
HBL 26_27-43488,20260923,2
HBL 26_27-43488,20260924,2
HBL 26_27-43488,20260928,2
HBL 26_27-43488,20260929,2
HBL 26_27-43488,20260930,2
HBL 26_27-43488,20261001,2
HBL 26_27-43488,20261005,2
HBL 26_27-43483,20261005,1
MET 26_27-43289,20261005,2
MET 26_27-43289-0000100,20261005,2
MET 26_27-43291,20261005,1
KBL 26_27-44024,20260921,2
KBL 26_27-44024,20260922,2
KBL 26_27-44024,20260923,2
KBL 26_27-44024,20260924,2
KBL 26_27-44024,20260925,2
KBL 26_27-44024,20260928,2
KBL 26_27-44024,20260929,2
KBL 26_27-44024,20260930,2
KBL 26_27-44024,20261001,2
KBL 26_27-44024,20261002,2
KBL 26_27-44024,20261005,2
KBL 26_27-42863,20261005,1
LCBS 26_27-43389,20260921,2
LCBS 26_27-43389-0000100,20260921,2
LCBS 26_27-43389,20260922,2
LCBS 26_27-43389-0000100,20260922,2
LCBS 26_27-43389,20260923,2
LCBS 26_27-43389-0000100,20260923,2
LCBS 26_27-43389,20260924,2
LCBS 26_27-43389-0000100,20260924,2
LCBS 26_27-43389,20260925,2
LCBS 26_27-43389-0000100,20260925,2
LCBS 26_27-43389,20260928,2
LCBS 26_27-43389-0000100,20260928,2
LCBS 26_27-43389,20260929,2
LCBS 26_27-43389-0000100,20260929,2
LCBS 26_27-43389,20260930,2
LCBS 26_27-43389-0000100,20260930,2
LCBS 26_27-43389,20261001,2
LCBS 26_27-43389-0000100,20261001,2
LCBS 26_27-43389,20261002,2
LCBS 26_27-43389-0000100,20261002,2
LCBS 26_27-43389,20261005,2
LCBS 26_27-43389-0000100,20261005,2
LCBS 26_27-43394,20261005,1
LOGC 26_27-43196,20261005,2
LOGC 26_27-43195,20261005,1
MGB 26_27-43490,20260921,2
MGB 26_27-43490,20260922,2
MGB 26_27-43490,20260923,2
MGB 26_27-43490,20260924,2
MGB 26_27-43490,20260925,2
MGB 26_27-43490,20260928,2
MGB 26_27-43490,20260929,2
MGB 26_27-43490,20260930,2
MGB 26_27-43490,20261001,2
MGB 26_27-43490,20261002,2
MGB 26_27-43490,20261005,2
MGB 26_27-43493,20261005,1
PRT 26_27-42920,20260921,2
PRT 26_27-42920,20260922,2
PRT 26_27-42920,20260923,2
PRT 26_27-42920,20260924,2
PRT 26_27-42920,20260925,2
PRT 26_27-42920,20260928,2
PRT 26_27-42920,20260929,2
PRT 26_27-42920,20260930,2
PRT 26_27-42920,20261001,2
PRT 26_27-42920,20261002,2
PRT 26_27-42920,20261005,2
SBL 26_27-44035,20260921,2
SBL 26_27-44035-1111000,20260921,2
SBL 26_27-44035-0000100,20260921,2
SBL 26_27-44035,20260922,2
SBL 26_27-44035-1111000,20260922,2
SBL 26_27-44035-0000100,20260922,2
SBL 26_27-44035,20260923,2
SBL 26_27-44035-1111000,20260923,2
SBL 26_27-44035-0000100,20260923,2
SBL 26_27-44035,20260924,2
SBL 26_27-44035-1111000,20260924,2
SBL 26_27-44035-0000100,20260924,2
SBL 26_27-44035,20260925,2
SBL 26_27-44035-1111000,20260925,2
SBL 26_27-44035-0000100,20260925,2
SBL 26_27-44035,20260928,2
SBL 26_27-44035-1111000,20260928,2
SBL 26_27-44035-0000100,20260928,2
SBL 26_27-44035,20260929,2
SBL 26_27-44035-1111000,20260929,2
SBL 26_27-44035-0000100,20260929,2
SBL 26_27-44035,20260930,2
SBL 26_27-44035-1111000,20260930,2
SBL 26_27-44035-0000100,20260930,2
SBL 26_27-44035,20261001,2
SBL 26_27-44035-1111000,20261001,2
SBL 26_27-44035-0000100,20261001,2
SBL 26_27-44035,20261002,2
SBL 26_27-44035-1111000,20261002,2
SBL 26_27-44035-0000100,20261002,2
SBL 26_27-44035,20261005,2
SBL 26_27-44035-1111000,20261005,2
SBL 26_27-44035-0000100,20261005,2
SBL 26_27-44036,20261005,1
BT 26_27-43779,20261005,1
SMBI 26_27-43032,20261005,1
SMBI 26_27-43031,20261005,2
SUN 26_27-43550,20260921,2
SUN 26_27-43550-0010000,20260921,2
SUN 26_27-43550-1111000,20260921,2
SUN 26_27-43550-1110100,20260921,2
SUN 26_27-43550-0000100,20260921,2
SUN 26_27-43550-0001000,20260921,2
SUN 26_27-43550,20260922,2
SUN 26_27-43550-0010000,20260922,2
SUN 26_27-43550-1111000,20260922,2
SUN 26_27-43550-1110100,20260922,2
SUN 26_27-43550-0000100,20260922,2
SUN 26_27-43550-0001000,20260922,2
SUN 26_27-43550,20260923,2
SUN 26_27-43550-0010000,20260923,2
SUN 26_27-43550-1111000,20260923,2
SUN 26_27-43550-1110100,20260923,2
SUN 26_27-43550-0000100,20260923,2
SUN 26_27-43550-0001000,20260923,2
SUN 26_27-43550,20260924,2
SUN 26_27-43550-0010000,20260924,2
SUN 26_27-43550-1111000,20260924,2
SUN 26_27-43550-1110100,20260924,2
SUN 26_27-43550-0000100,20260924,2
SUN 26_27-43550-0001000,20260924,2
SUN 26_27-43550,20260925,2
SUN 26_27-43550-0010000,20260925,2
SUN 26_27-43550-1111000,20260925,2
SUN 26_27-43550-1110100,20260925,2
SUN 26_27-43550-0000100,20260925,2
SUN 26_27-43550-0001000,20260925,2
SUN 26_27-43550,20260928,2
SUN 26_27-43550-0010000,20260928,2
SUN 26_27-43550-1111000,20260928,2
SUN 26_27-43550-1110100,20260928,2
SUN 26_27-43550-0000100,20260928,2
SUN 26_27-43550-0001000,20260928,2
SUN 26_27-43550,20260929,2
SUN 26_27-43550-0010000,20260929,2
SUN 26_27-43550-1111000,20260929,2
SUN 26_27-43550-1110100,20260929,2
SUN 26_27-43550-0000100,20260929,2
SUN 26_27-43550-0001000,20260929,2
SUN 26_27-43550,20260930,2
SUN 26_27-43550-0010000,20260930,2
SUN 26_27-43550-1111000,20260930,2
SUN 26_27-43550-1110100,20260930,2
SUN 26_27-43550-0000100,20260930,2
SUN 26_27-43550-0001000,20260930,2
SUN 26_27-43550,20261001,2
SUN 26_27-43550-0010000,20261001,2
SUN 26_27-43550-1111000,20261001,2
SUN 26_27-43550-1110100,20261001,2
SUN 26_27-43550-0000100,20261001,2
SUN 26_27-43550-0001000,20261001,2
SUN 26_27-43550,20261002,2
SUN 26_27-43550-0010000,20261002,2
SUN 26_27-43550-1111000,20261002,2
SUN 26_27-43550-1110100,20261002,2
SUN 26_27-43550-0000100,20261002,2
SUN 26_27-43550-0001000,20261002,2
SUN 26_27-43550,20261005,2
SUN 26_27-43550-0010000,20261005,2
