route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R348-4156,ATS_HBL 26-44043,38717031-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717032-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717033-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717034-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717035-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717036-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717037-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717038-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717041-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717042-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717043-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717044-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717045-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717046-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717047-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717048-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717049-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717050-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717051-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717054-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717055-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717056-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717057-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
R348-4156,ATS_HBL 26-44043,38717058-ATS_HBL 26-44043,"Northgate station",0,,R3480285
R348-4156,ATS_HBL 26-44043,38717059-ATS_HBL 26-44043,"Shorncliffe station",1,,R3480286
